Year,CV,plant,branch,galls
2024,Merveille_de_Bollwiller,1,1,0
2024,Merveille_de_Bollwiller,1,2,0
2024,Merveille_de_Bollwiller,1,3,0
2024,Merveille_de_Bollwiller,1,4,0
2024,Merveille_de_Bollwiller,1,5,0
2024,Merveille_de_Bollwiller,2,1,0
2024,Merveille_de_Bollwiller,2,2,0
2024,Merveille_de_Bollwiller,2,3,0
2024,Merveille_de_Bollwiller,2,4,0
2024,Merveille_de_Bollwiller,2,5,0
2024,Merveille_de_Bollwiller,3,1,0
2024,Merveille_de_Bollwiller,3,2,0
2024,Merveille_de_Bollwiller,3,3,0
2024,Merveille_de_Bollwiller,3,4,0
2024,Merveille_de_Bollwiller,3,5,0
2024,Tonda_Gentile_Romana,1,1,1
2024,Tonda_Gentile_Romana,1,2,0
2024,Tonda_Gentile_Romana,1,3,2
2024,Tonda_Gentile_Romana,1,4,2
2024,Tonda_Gentile_Romana,1,5,1
2024,Tonda_Gentile_Romana,2,1,2
2024,Tonda_Gentile_Romana,2,2,2
2024,Tonda_Gentile_Romana,2,3,1
2024,Tonda_Gentile_Romana,2,4,2
2024,Tonda_Gentile_Romana,2,5,1
2024,Tonda_Gentile_Romana,3,1,1
2024,Tonda_Gentile_Romana,3,2,1
2024,Tonda_Gentile_Romana,3,3,2
2024,Tonda_Gentile_Romana,3,4,1
2024,Tonda_Gentile_Romana,3,5,2
2024,Tombul,1,1,4
2024,Tombul,1,2,0
2024,Tombul,1,3,3
2024,Tombul,1,4,0
2024,Tombul,1,5,0
2024,Tombul,2,1,0
2024,Tombul,2,2,0
2024,Tombul,2,3,0
2024,Tombul,2,4,0
2024,Tombul,2,5,2
2024,Tombul,3,1,4
2024,Tombul,3,2,0
2024,Tombul,3,3,1
2024,Tombul,3,4,1
2024,Tombul,3,5,2
2024,Barcelona,1,1,0
2024,Barcelona,1,2,2
2024,Barcelona,1,3,1
2024,Barcelona,1,4,0
2024,Barcelona,1,5,1
2024,Barcelona,2,1,1
2024,Barcelona,2,2,0
2024,Barcelona,2,3,0
2024,Barcelona,2,4,1
2024,Barcelona,2,5,0
2024,Barcelona,3,1,0
2024,Barcelona,3,2,0
2024,Barcelona,3,3,0
2024,Barcelona,3,4,0
2024,Barcelona,3,5,0
2024,Negret,1,1,0
2024,Negret,1,2,0
2024,Negret,1,3,0
2024,Negret,1,4,1
2024,Negret,1,5,1
2024,Negret,2,1,0
2024,Negret,2,2,0
2024,Negret,2,3,1
2024,Negret,2,4,2
2024,Negret,2,5,0
2024,Negret,3,1,1
2024,Negret,3,2,1
2024,Negret,3,3,1
2024,Negret,3,4,0
2024,Negret,3,5,0
2024,Tonda_Gentile,1,1,1
2024,Tonda_Gentile,1,2,1
2024,Tonda_Gentile,1,3,0
2024,Tonda_Gentile,1,4,5
2024,Tonda_Gentile,1,5,1
2024,Tonda_Gentile,2,1,4
2024,Tonda_Gentile,2,2,2
2024,Tonda_Gentile,2,3,1
2024,Tonda_Gentile,2,4,1
2024,Tonda_Gentile,2,5,0
2024,Tonda_Gentile,3,1,1
2024,Tonda_Gentile,3,2,0
2024,Tonda_Gentile,3,3,2
2024,Tonda_Gentile,3,4,2
2024,Tonda_Gentile,3,5,0
2024,Ennis,1,1,0
2024,Ennis,1,2,1
2024,Ennis,1,3,0
2024,Ennis,1,4,1
2024,Ennis,1,5,0
2024,Ennis,2,1,1
2024,Ennis,2,2,1
2024,Ennis,2,3,0
2024,Ennis,2,4,1
2024,Ennis,2,5,1
2024,Ennis,3,1,0
2024,Ennis,3,2,2
2024,Ennis,3,3,0
2024,Ennis,3,4,1
2024,Ennis,3,5,0
2024,Tonda_di_Giffoni,1,1,2
2024,Tonda_di_Giffoni,1,2,2
2024,Tonda_di_Giffoni,1,3,1
2024,Tonda_di_Giffoni,1,4,0
2024,Tonda_di_Giffoni,1,5,0
2024,Tonda_di_Giffoni,2,1,2
2024,Tonda_di_Giffoni,2,2,1
2024,Tonda_di_Giffoni,2,3,0
2024,Tonda_di_Giffoni,2,4,0
2024,Tonda_di_Giffoni,2,5,0
2024,Tonda_di_Giffoni,3,1,1
2024,Tonda_di_Giffoni,3,2,0
2024,Tonda_di_Giffoni,3,3,1
2024,Tonda_di_Giffoni,3,4,1
2024,Tonda_di_Giffoni,3,5,0
2024,San_Giovanni,1,1,0
2024,San_Giovanni,1,2,0
2024,San_Giovanni,1,3,0
2024,San_Giovanni,1,4,NA
2024,San_Giovanni,1,5,NA
2024,San_Giovanni,2,1,0
2024,San_Giovanni,2,2,0
2024,San_Giovanni,2,3,1
2024,San_Giovanni,2,4,0
2024,San_Giovanni,2,5,2
2024,San_Giovanni,3,1,1
2024,San_Giovanni,3,2,0
2024,San_Giovanni,3,3,0
2024,San_Giovanni,3,4,1
2024,San_Giovanni,3,5,0
2024,Nocchione,1,1,0
2024,Nocchione,1,2,0
2024,Nocchione,1,3,0
2024,Nocchione,1,4,0
2024,Nocchione,1,5,0
2024,Nocchione,2,1,0
2024,Nocchione,2,2,0
2024,Nocchione,2,3,0
2024,Nocchione,2,4,0
2024,Nocchione,2,5,0
2024,Nocchione,3,1,0
2024,Nocchione,3,2,0
2024,Nocchione,3,3,0
2024,Nocchione,3,4,0
2024,Nocchione,3,5,0
2024,Riccia_di_Talanico,1,1,2
2024,Riccia_di_Talanico,1,2,0
2024,Riccia_di_Talanico,1,3,2
2024,Riccia_di_Talanico,1,4,2
2024,Riccia_di_Talanico,1,5,0
2024,Riccia_di_Talanico,2,1,0
2024,Riccia_di_Talanico,2,2,1
2024,Riccia_di_Talanico,2,3,1
2024,Riccia_di_Talanico,2,4,2
2024,Riccia_di_Talanico,2,5,1
2024,Riccia_di_Talanico,3,1,0
2024,Riccia_di_Talanico,3,2,0
2024,Riccia_di_Talanico,3,3,1
2024,Riccia_di_Talanico,3,4,0
2024,Riccia_di_Talanico,3,5,0
2023,Tonda_Gentile,1,1,2
2023,Tonda_Gentile,1,2,1
2023,Tonda_Gentile,1,3,3
2023,Tonda_Gentile,1,4,1
2023,Tonda_Gentile,1,5,1
2023,Tonda_Gentile,2,1,0
2023,Tonda_Gentile,2,2,2
2023,Tonda_Gentile,2,3,3
2023,Tonda_Gentile,2,4,4
2023,Tonda_Gentile,2,5,4
2023,Tonda_Gentile,3,1,1
2023,Tonda_Gentile,3,2,4
2023,Tonda_Gentile,3,3,1
2023,Tonda_Gentile,3,4,4
2023,Tonda_Gentile,3,5,2
2023,Negret,1,1,1
2023,Negret,1,2,0
2023,Negret,1,3,2
2023,Negret,1,4,0
2023,Negret,1,5,0
2023,Negret,2,1,0
2023,Negret,2,2,0
2023,Negret,2,3,0
2023,Negret,2,4,0
2023,Negret,2,5,1
2023,Negret,3,1,0
2023,Negret,3,2,0
2023,Negret,3,3,1
2023,Negret,3,4,1
2023,Negret,3,5,1
2023,Nocchione,1,1,0
2023,Nocchione,1,2,5
2023,Nocchione,1,3,0
2023,Nocchione,1,4,0
2023,Nocchione,1,5,3
2023,Nocchione,2,1,0
2023,Nocchione,2,2,1
2023,Nocchione,2,3,0
2023,Nocchione,2,4,0
2023,Nocchione,2,5,0
2023,Nocchione,3,1,0
2023,Nocchione,3,2,0
2023,Nocchione,3,3,0
2023,Nocchione,3,4,0
2023,Nocchione,3,5,1
2023,Ennis,1,1,0
2023,Ennis,1,2,0
2023,Ennis,1,3,0
2023,Ennis,1,4,1
2023,Ennis,1,5,1
2023,Ennis,2,1,0
2023,Ennis,2,2,0
2023,Ennis,2,3,0
2023,Ennis,2,4,0
2023,Ennis,2,5,1
2023,Ennis,3,1,1
2023,Ennis,3,2,1
2023,Ennis,3,3,0
2023,Ennis,3,4,0
2023,Ennis,3,5,1
2023,Merveille_de_Bollwiller,1,1,0
2023,Merveille_de_Bollwiller,1,2,2
2023,Merveille_de_Bollwiller,1,3,1
2023,Merveille_de_Bollwiller,1,4,1
2023,Merveille_de_Bollwiller,1,5,0
2023,Merveille_de_Bollwiller,2,1,0
2023,Merveille_de_Bollwiller,2,2,0
2023,Merveille_de_Bollwiller,2,3,0
2023,Merveille_de_Bollwiller,2,4,0
2023,Merveille_de_Bollwiller,2,5,0
2023,Merveille_de_Bollwiller,3,1,0
2023,Merveille_de_Bollwiller,3,2,0
2023,Merveille_de_Bollwiller,3,3,0
2023,Merveille_de_Bollwiller,3,4,0
2023,Merveille_de_Bollwiller,3,5,0
2023,Tonda_Gentile_Romana,1,1,2
2023,Tonda_Gentile_Romana,1,2,2
2023,Tonda_Gentile_Romana,1,3,1
